"Deskripsi","Nama Hewan","Jenis Hewan"
"Mempunyai bulu berwarna biru gelap mengilap. Burung jantan dewasa berukuran besar, panjangnya dapat mencapai 230 cm, dengan penutup ekor yang sangat panjang berwarna hijau metalik. Di atas kepalanya terdapat jambul tegak biru membentuk kipas. Burung betina berukuran lebih kecil dari burung jantan. Bulu-bulunya tidak mengilap, berwarna coklat kehijauan dengan garis-garis hitam dan tanpa dihiasi bulu penutup ekor. Pakan terdiri dari aneka biji-bijian, pucuk rumput dan dedaunan, aneka serangga, serta berbagai jenis hewan kecil seperti cacing, laba-laba dan kadal kecil.","Burung Merak","Burung"
"Memiliki indra penciuman dan pendengaran yang ulung, bertelinga bundar, berekor kecil, berbulu yang panjang, lebat dan kasar, Mereka memiliki cakar yang lebar dan berjumlah lima pada telapak tangan yang tak dapat ditarik masuk. Cakar-cakarnya digunakan untuk menyobek, menggali, dan menangkap. Pengelihatan beruang hampir sama dengan pengelihatan manusia. Memiliki empat telapak yang bercakar. Setiap telapak dilengkapi lima cakar yang tajam dan panjang. Kuku tersebut dapat digunakan untuk memanjat pohon, menyobek sarang rayap dan sarang lebah, menggali akar, atau menangkap mangsa, tergantung pada spesiesnya.Berbulu panjang dan kasar. Dengan warna bulu yang bervariasi tergantung pada spesiesnya, ada yang berwarna putih, blonde atau krem, hitam dan putih, sampai hitam semua atau coklat semua. Warna bulu juga bervariasi walaupun mereka masih dalam satu spesies.","Beruang","Mamalia"
"Umumnya berbulu burik, kecoklatan atau abu-abu dengan bercak-bercak hitam dan putih. Dipadukan dengan perilakunya yang kerap mematung dan tidak banyak bergerak, menjadikan burung ini tidak mudah kelihatan, begitu pun ketika tidur di siang hari di bawah lindungan daun-daun. Ekor umumnya pendek, namun sayapnya besar dan lebar. Rentang sayapnya mencapai sekitar tiga kali panjang tubuhnya. Matanya besar dan menghadap ke depan, tak seperti umumnya jenis burung lain yang matanya menghadap ke samping. Bersama paruh yang bengkok tajam seperti paruh elang dan susunan bulu di kepala yang membentuk lingkaran wajah","Burung Hantu","Burung"
"Sanca kembang ini mudah dikenali karena umumnya bertubuh besar. Keluarga sanca (Pythonidae) relatif mudah dibedakan dari ular-ular lain dengan melihat sisik-sisik dorsalnya yang lebih dari 45 deret, dan sisik-sisik ventralnya yang lebih sempit dari lebar sisi bawah tubuhnya. Sanca kembang memiliki pola lingkaran-lingkaran besar berbentuk jala (reticula, jala), tersusun dari warna-warna hitam, kecoklatan, kuning dan putih di sepanjang sisi dorsal tubuhnya. Satu garis hitam tipis berjalan di atas kepala dari moncong hingga tengkuk, menyerupai garis tengah yang membagi dua kanan kiri kepala secara simetris. Dan masing-masing satu garis hitam lain yang lebih tebal berada di tiap sisi kepala, melewati mata ke belakang. Ciri-ciri utama ular adalah bertubuh panjang dan tidak memiliki kaki. Ciri-ciri selanjutnya adalah, ular tidak memiliki indera pendengaran samasekali. Akan tetapi, ular bisa merasakan getaran melalui rahang bawahnya saat menempel di tanah atau di permukaan. Ular tidak memiliki kelopak mata yang dapat di buka-tutup, dan matanya selalu terbuka selama hidupnya. Walaupun begitu, mata ular dilapisi oleh sisik bening yang melindunginya dari kotoran. Ciri utama lainnya adalah, lidah ular bercabang dua dengan masing-masing cabangnya berukuran panjang dan runcing, dan dapat dijulurkan ke luar melalui rongga di tengah bibirnya. Dengan kata lain, ular dapat menjulurkan lidahnya dalam keadaan mulut tertutup rapat. Ular menjulurkan lidahnya untuk mendeteksi bau di udara, sementara hidung ular hanya digunakan untuk bernafas.","Sanca Kembang","Reptil"
"Komodo merupakan kadal terbesar di dunia, dengan rata-rata panjang 2-3 meter dan beratnya bisa mencapai 100 kg. Komodo memiliki ekor yang sama panjang dengan tubuhnya. Meskipun komodo tercatat sebagai kadal terbesar di dunia, namun bukan spesies yang terpanjang. Komodo jantan lebih besar daripada komodo betina, dengan warna kulit dari abu-abu gelap sampai merah batu bata, sementara komodo betina biasanya berwarna hijau kecokelatan dan memiliki bercak kecil kuning pada tenggorokannya. Komodo muda lebih bervariasi warnanya, dengan warna kuning, hijau dan putih dengan latar belakang hitam. Di dalam mulut komodo dewasa, terdapat sekitar 60 buah gigi yang bergerigi tajam sepanjang sekitar 2.5 cm. Komodo memiliki lidah yang panjang, berwarna kuning kecokelatan dan bercabang.","Komodo","Reptil"
"Ikan giru atau lebih dikenal dengan sebutan ikan badut. Di alam bebas mereka bersimbiosis dengan anemon laut. Anemon akan melindungi Ikan badut dari pemangsa dan Ikan badut akan membersihkan Anemon dengan memakan sisa - sisa makanan Anemon. Ikan badut berwarna kuning, jingga, kemerahan atau kehitaman. Spesies terbesar mencapai panjang 18 cm, sementara yang terkecil hanya 6 cm.","Ikan Badut","Ikan"
"Kuda nil memiliki tubuh yang besar dan berat, serta kulit kelabu gelap. Mereka juga memiliki gading besar yang biasa mereka gunakan untuk mempertahankan diri dari predator. Kuda nil memiriki ciri khas tubuh yang besar, mulut dan gigi yang sangat besar, empat kaki yang pendek dan gemuk, serta badan yang hampir tidak berambut. Kuda nil dewasa memiliki berat 1.5 sampai 3 ton. Meskipun bertubuh besar dan berkaki pendek, kuda nil mampu berlari dengan cepat. Untuk jarak pendek, mereka mampu berlari secepat 30 km/jam, lebih cepat dari kecepatan lari manusia pada umumnya. Kuda nil memiliki watak agresif dan dianggap salah satu hewan paling berbahaya di Afrika","Kuda Nil","Mamalia"
"Ikan pari manta (Manta birostris) adalah salah satu spesies ikan pari terbesar di dunia. Lebar tubuhnya dari ujung sirip dada ke ujung sirip lainnya mencapai hampir 7 meter (kemungkinan lebih karena ada laporan yang mengatakan bahwa ada manta yang lebar tubuhnya mencapai 9,1 meter). Manta memiliki fisik yang secara umum mirip dengan kebanyakan ikan pari dengan sirip dada yang lebar serta ekor kecil seperti cambuk. Sirip dadanya yang lebar membuat tubuhnya terlihat pipih. Manta bergerak memakai sirip dadanya dengan cara mengombakkannya dari bagian dekat kepala hingga ke belakang tubuh sehingga saat dilihat, pari manta seolah-olah sedang terbang di dalam laut. Ekor manta sendiri lebih pendek dibandingkan dengan ekor ikan pari kebanyakan dan tidak bersengat. Kulit manta juga diselubungi lapisan lendir yang jauh lebih tebal dibandingkan ikan pari kebanyakan. Ciri khas manta adalah sepasang ""tanduk"" di dekat mulutnya. ""Tanduk"" ini sebenarnya adalah sepasang sirip sefala (kepala) yang membantu memasukkan air laut yang mengandung plankton makanannya dan bisa ditekuk ke dalam mulut.Manta juga memiliki lima pasang celah insang di bagian bawah tubuhnya untuk mengeluarkan air yang masuk melalui mulutnya. Pola warna pada tubuh manta juga bervariasi di mana pada pari manta yang ditemukan di Pasifik timur bagian bawah tubuhnya berwarna dominan hitam, sementara pada jenis pari manta yang ditemukan di Pasifik barat, warna bagian bawah tubuhnya pucat","Ikan Pari Manta","Ikan"
"Ikan Hiu adalah sekelompok (superordo Selachimorpha) ikan dengan kerangka tulang rawan yang lengkap dan tubuh yang ramping. Mereka bernapas dengan menggunakan lima liang insang (kadang-kadang enam atau tujuh, tergantung pada spesiesnya) di samping, atau dimulai sedikit di belakang, kepalanya. Hiu mempunyai tubuh yang dilapisi kulit dermal denticles untuk melindungi kulit mereka dari kerusakan, dari parasit, dan untuk menambah dinamika air.Mereka mempunyai beberapa deret gigi yang dapat digantikan. Mereka mempunyai beberapa deret gigi yang dapat digantikan. Rahang hiu beraneka ragam dan diduga telah berevolusi dari rongga insang yang pertama","Ikan Hiu","Ikan"
"Katak adalah binatang amfibi pemakan serangga yang hidup di air tawar atau di daratan, berkulit licin, berwarna hijau atau merah kecokelat-cokelatan, kaki belakang lebih panjang, pandai melompat dan berenang; sedangkan kodok, nama lain dari bangkong memiliki kulit yang kasar dan berbintil-bintil atau berbingkul-bingkul, kerap kali kering, dan kaki belakangnya sering pendek saja, sehingga kebanyakan bangsa kodok kurang pandai melompat jauh. ","Katak","Amfibi"
"Kepiting adalah binatang berkaki sepuluh, yang dikenal mempunyai ""ekor"" yang sangat pendek atau yang perutnya sama sekali tersembunyi di bawah dada. Tubuh kepiting dilindungi oleh cangkang yang sangat keras, tersusun dari kitin, dan dipersenjatai dengan sepasang capit.  Rajungan adalah kepiting yang hidup di perairan laut dan jarang naik ke pantai, sedangkan yuyu adalah ketam penghuni perairan tawar (sungai dan danau). Kepiting sejati mempunyai lima pasang kaki; sepasang kaki yang pertama dimodifikasi menjadi sepasang capit dan tidak digunakan untuk bergerak. Insang kepiting terbentuk dari pelat-pelat yang pipih, mirip dengan insang udang, namun dengan struktur yang berbeda","Kepiting","Invertebrata"
"Gurita memiliki 8 lengan (bukan tentakel) dengan alat penghisap berupa bulatan-bulatan cekung pada lengan yang digunakan untuk bergerak di dasar laut dan menangkap mangsa. Gurita tidak memiliki cangkang sebagai pelindung di bagian luar seperti halnya Nautilus dan tidak memiliki cangkang dalam atau tulang seperti sotong dan cumi-cumi. Paruh adalah bagian terkeras dari tubuh gurita yang digunakan sebagai rahang untuk membunuh mangsa dan menggigitnya menjadi bagian-bagian kecil. Tubuh yang sangat fleksibel memungkinkan gurita untuk menyelipkan diri pada celah batuan yang sangat sempit di dasar laut, terutama sewaktu melarikan diri dari ikan pemangsa seperti belut laut Moray. Gurita yang kurang dikenal orang dari subordo Cirrata memiliki dua buah sirip dan cangkang dalam sehingga kemampuan untuk menyelip ke dalam ruangan sempit menjadi berkurang. Selubung bagian perut tubuh gurita disebut mantel yang terbuat dari otot dan terlihat seperti kantung. Gurita memiliki tiga buah jantung yang terdiri dari dua buah jantung untuk memompa darah ke dua buah insang dan sebuah jantung untuk memompa darah ke seluruh bagian tubuh. Gurita bergerak dengan cara merangkak atau berenang. Gurita cukup merangkak ditambah sedikit berenang jika ingin bergerak secara perlahan dan hanya berenang jika ingin bergerak cepat-cepat. Gurita berenang dengan semburan air seperti mesin jet yang berasal dari hasil kontraksi bagian mantel, sedangkan arah semburan air diatur dengan menggunakan tabung siphon","Gurita","Invertebrata"
"Ikan tuna adalah perenang andal (pernah diukur mencapai 77 km/jam).  Beberapa spesies tuna yang lebih besar, seperti tuna sirip biru Atlantik (Thunnus thynnus), dapat menaikkan suhu darahnya di atas suhu air dengan aktivitas ototnya. Hal ini menyebabkan mereka dapat hidup di air yang lebih dingin dan dapat bertahan dalam kondisi yang beragam. Tuna memiliki bentuk tubuh yang sedikit banyak mirip dengan torpedo, disebut fusiform, sedikit memipih di sisi-sisinya dan dengan moncong meruncing. Sirip punggung (dorsal) dua berkas, sirip punggung pertama berukuran relatif kecil dan terpisah dari sirip punggung kedua. Sirip ekor bercabang dalam (bercagak) dengan jari-jari penyokong menutup seluruh ujung hipural. Tubuh kebanyakan dengan wilayah barut badan (corselet), yakni bagian di belakang kepala dan di sekitar sirip dada yang ditutupi oleh sisik-sisik yang tebal dan agak besar. Bagian tubuh sisanya bersisik kecil atau tanpa sisik. Ikan tuna madiding ini memiliki bentuk pipih dan memanjang disertai dengan srip punggung bawah dan atas yang panjang serta memiliki warna kekuningan. Sedangkan ikan tuna mata besar ini memiliki sirip punggung atas dan bawah kecil dan memiliki bentuk lebih besar dibandingkan ikan tuna madidihang serta memiliki ciri khusus mata besar. Ikan tuna albakora dan ikan tuna siri biru juga memiliki ciri dan morfologi yang berbeda diantaranya ikan tuna albakora ini memiliki sirip pendek dengan sirip pungggung yang menjang hingga pangkal ekor dan juga berbentuk memanjang dan pipih serta bewarna abu – abu keperakan. Sedangkan ikan tuna sirip biru ini memiliki bentuk mengembung dan jauh lebih besar dibandingkan ikantuna albakora dan memiliki sirip punggung pendek berwarna kebiruan hingga keseluruhan tubuh","Ikan Tuna","Ikan"
